KIF1B
UFL1
TTLL4
ZNF480
MALSU1
ZSCAN29
ZC3H4
BRF1
ZNF646
SLC19A2
TMEM60
SMIM12
IWS1
YARS2
RIPK1
SENP2
FASTKD2
MKRN2
CHMP7
CLPX
ACTR8
DHX36
ZNF770
ZNF260
BBS10
MLH3
VPS72
BLZF1
DNAJA2
CAMSAP2
WDR75
ZNF41
CSRNP2
CSTF2T
TRIM65
MED8
TRMT1L
GOLPH3
LRCH3
RAB9A
METTL14
RSPRY1
NKIRAS1
EXOSC3
TEX10
RBM38
DSTYK
TRIM23
AGGF1
CTR9
TAB1
ZFP36L2
HIVEP1
HEATR6
MRPL15
DNAJB12
MRPS9
TTPAL
KDM3A
MPHOSPH8
GCLC
LRCH1
OSBPL11
C12orf43
ZBTB33
MGA
PDCL
ZNF217
FASTKD1
PHF14
CDK8
MRPL50
TDRD7
TAMM41
MRPL36
MPHOSPH6
C17orf58
TSPYL4
CDK5RAP1
SOS1
GCC2
AFF1
ZCCHC6
ZMYM2
AP5M1
ELMO2
NLK
TRIM33
EPC2
PAPD5
RCOR1
GTPBP10
AEBP2
CEP350
MEPCE
NCBP3
PLAA
DHX57
MAPK14
SMARCAD1
WSB1
BPTF
C6orf62
EBAG9
RAPGEF2
ORC5
SLC38A2
ZMYND8
ORC2
MIER3
RBM12B
ASF1A
FBXL3
KAT6B
CREB1
KIF1BP
FOXP1
DCUN1D1
GLTSCR1L
AKAP9
PATZ1
UBN2
BRWD1
C3orf58
SAV1
ZBTB10
GPATCH1
EGLN1
C5orf30
PGRMC2
AHR
EFNB2
NR2C1
ZNF445
HSDL1
DMTF1
DDX20
NDUFAF4
APEX2
ZNF672
DGCR14
THAP7
MAPK7
C19orf47
STAM
POLR3F
VANGL1
ARMC1
NAA15
NOL11
ZFP91
ANKRD40
PIP5K1A
PWWP2A
DYRK2
GEMIN6
FOXJ2
RBBP5
CUL1
ASNSD1
URB2
C7orf49
TMEM70
C2orf69
CCDC117
CHD1
BAZ1A
ZADH2
UMPS
KAT7
ZNF318
SIRT1
THAP11
RSBN1L
SIN3A
MAT2A
AMD1
ELK4
PDCD10
OTUD4
ZNF275
RBM12
SNX27
MBD4
PTAR1
C1orf216
METTL13
ZNF45
C2orf42
TRIP11
ZNF576
AP4B1
ZFP62
RNF216P1
MPHOSPH10
LTV1
TMEM41A
MED17
NUFIP1
LEO1
MCPH1
ZNF302
B3GNT2
IMP3
KLHL20
DDX59
KAT5
MYNN
ZNF189
RPUSD4
PITPNB
FAM118B
ZNF776
C7orf26
SPRTN
LYSMD3
COA7
MIOS
RANBP6
FADD
TP53RK
ELF1
KBTBD6
TRIM32
DNAJB9
ENTPD7
DOPEY1
HCFC2
ERCC6L2
MADD
RIOX2
NUDT12
ZNF397
PIGC
KRT8P12
LYSMD4
ATXN7L2
TLK2
ZNF548
SH3RF1
TDG
SETMAR
MTERF3
SETD6
STK17A
AJUBA
CREBZF
MTMR4
ZNF33A
BTG1
FBXO33
ACTR5
SLC25A30
YEATS2
PPP3CC
XPA
ANKRD16
HPS4
ALKBH2
TBCCD1
DDX10
PLEKHG3
ESF1
NAF1
ING1
TXNL4B
ZBTB41
XIAP
CCDC142
TNFRSF1A
UTP14C
PIK3R1
C14orf119
UBQLN2
CNOT8
TTC9C
PPP1R15B
LDOC1L
SMCR8
NUFIP2
C15orf39
RRP1
ZNF48
ALKBH4
GRWD1
MIER2
IRF2BP1
BRF2
AP5S1
EGLN2
ASB13
METTL23
ANKEF1
FRMD6
TMEM57
GTF2E1
FOXC1
EMSY
SMAD1
ERCC5
TSHZ1
INTS2
MOB2
ZNF586
ZNF611
FZD7
BLOC1S5
SHQ1
ATP6V0A2
ILF3-AS1
NAMPT
CLDN12
JADE2
CDC42EP4
TLE3
RHOBTB2
SMAP2
PIK3C2B
BAZ2B
HDHD3
MAVS
PNMA1
FAM98A
FAM8A1
MED11
HNRNPLL
NECAP1
ZNF280D
TTC8
EDEM3
FBXL4
WAC-AS1
MEX3A
TOMM40L
DUS2
ZNF277
TACC2
MTHFSD
SLC31A2
TMEM263
SP110
DTX3L
LDLRAP1
VRK2
GK5
MTR
CASP7
ZDHHC23
FRYL
HSPA8
KIF21A
JADE3
EPS8
UTP11
USP7
TMEM138
BCAS2
RPAP3
KLHL8
ZFYVE16
DENND6A
PTBP3
GTF2A1
RPF1
DYNC1LI1
PSMC6
CUL2
TDP2
PKN2
ROCK2
DDX3X
LRRC8D
PIK3CA
ERBIN
